kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,h4,h5,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.9394,0.0,0.1385,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.9394,0.0,0.1385,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9393,0.0002,0.1386,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.9393,0.0002,0.1386,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.0652,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9391,0.0006,0.1388,0.7604,-0.0529,0.1385,0.752,0.053,0.1385,0.9391,0.0006,0.1388,0.7604,-0.0529,0.1385,0.752,0.053,0.1385,0.0658,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9388,0.0015,0.1393,0.7604,-0.0527,0.1386,0.752,0.053,0.1386,0.9388,0.0015,0.1393,0.7604,-0.0527,0.1386,0.752,0.053,0.1386,0.0669,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9382,0.0028,0.14,0.7603,-0.0525,0.1387,0.752,0.053,0.1387,0.9382,0.0028,0.14,0.7603,-0.0525,0.1387,0.752,0.053,0.1387,0.0685,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0015,-0.0,0.0004,-0.0008,-0.0015,-0.0015,3.0,3.0
0.05,0.9374,0.0047,0.1411,0.7603,-0.0521,0.1389,0.752,0.053,0.1389,0.9374,0.0047,0.1411,0.7603,-0.0521,0.1389,0.752,0.053,0.1389,0.0708,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0004,0.0015,-0.0,0.0004,-0.0008,-0.0015,-0.0015,0.0005,0.0018,-0.0,0.0005,-0.001,-0.0018,-0.0018,3.0,3.0
0.05,0.9362,0.0073,0.1425,0.7603,-0.0516,0.1392,0.752,0.053,0.1392,0.9362,0.0073,0.1425,0.7603,-0.0516,0.1392,0.752,0.053,0.1392,0.0738,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0009,0.0033,-0.0,0.0009,-0.0018,-0.0033,-0.0033,0.0006,0.0023,-0.0,0.0006,-0.0012,-0.0023,-0.0023,3.0,3.0
0.05,0.9348,0.0106,0.1443,0.7602,-0.051,0.1395,0.752,0.0529,0.1395,0.9348,0.0106,0.1443,0.7602,-0.051,0.1395,0.752,0.0529,0.1395,0.0778,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0015,0.0055,-0.0,0.0015,-0.003,-0.0055,-0.0055,0.0008,0.0029,-0.0,0.0008,-0.0016,-0.0029,-0.0029,3.0,3.0
0.05,0.933,0.0146,0.1465,0.7601,-0.0503,0.1398,0.752,0.0529,0.1398,0.933,0.0146,0.1465,0.7601,-0.0503,0.1398,0.752,0.0529,0.1398,0.0827,0.0029,0.0,0.0,0.0,0.0,1.0,1.0,0.0023,0.0084,-0.0,0.0023,-0.0046,-0.0084,-0.0084,0.001,0.0036,-0.0,0.001,-0.0008,-0.001,-0.0036,3.0,3.0
0.05,0.9309,0.0195,0.1491,0.76,-0.0493,0.1403,0.7519,0.0529,0.1403,0.9309,0.0195,0.1491,0.76,-0.0493,0.1403,0.7519,0.0529,0.1403,0.086,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0033,0.012,-0.0,0.0033,-0.0054,-0.0094,-0.012,0.0012,0.0045,-0.0,0.0012,-0.0024,-0.0045,-0.0045,3.0,3.0
0.05,0.9284,0.0253,0.1523,0.7599,-0.0483,0.1408,0.7519,0.0529,0.1408,0.9284,0.0253,0.1523,0.7599,-0.0483,0.1408,0.7519,0.0529,0.1408,0.0931,0.0,0.0036,0.0,0.0,0.0,1.0,1.0,0.0045,0.0165,-0.0001,0.0045,-0.0078,-0.0138,-0.0165,0.0015,0.0053,-0.0001,0.0015,-0.0029,-0.0053,-0.0088,3.0,3.0
0.05,0.9255,0.0319,0.1559,0.7598,-0.047,0.1414,0.7519,0.0528,0.1414,0.9255,0.0319,0.1559,0.7598,-0.047,0.1414,0.7519,0.0528,0.1414,0.1013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.006,0.0218,-0.0001,0.006,-0.0107,-0.0192,-0.0253,0.0017,0.0063,-0.0001,0.0017,-0.0034,-0.0063,-0.0063,3.0,3.0
0.05,0.9223,0.0393,0.1599,0.7597,-0.0456,0.1421,0.7519,0.0528,0.1421,0.9223,0.0393,0.1599,0.7597,-0.0456,0.1421,0.7519,0.0528,0.1421,0.1108,0.0037,0.0,0.0,0.0,0.0,1.0,1.0,0.0077,0.0281,-0.0002,0.0077,-0.0141,-0.0254,-0.0316,0.002,0.0072,-0.0001,0.002,-0.0025,-0.0039,-0.0072,3.0,3.0
0.05,0.9187,0.0477,0.1645,0.7595,-0.0441,0.1428,0.7518,0.0527,0.1428,0.9187,0.0477,0.1645,0.7595,-0.0441,0.1428,0.7518,0.0527,0.1428,0.1178,0.0,0.0039,0.0,0.0,0.0,1.0,1.0,0.0096,0.0353,-0.0004,0.0096,-0.0166,-0.0293,-0.0388,0.0022,0.0082,-0.0002,0.0022,-0.0045,-0.0082,-0.0121,3.0,3.0
0.05,0.9146,0.0569,0.1695,0.7593,-0.0423,0.1437,0.7518,0.0527,0.1437,0.9146,0.0569,0.1695,0.7593,-0.0423,0.1437,0.7518,0.0527,0.1437,0.1297,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0119,0.0436,-0.0005,0.0119,-0.0211,-0.0375,-0.0509,0.0025,0.0092,-0.0003,0.0025,-0.005,-0.0092,-0.0092,3.0,3.0
0.05,0.9102,0.067,0.1751,0.7591,-0.0404,0.1446,0.7518,0.0526,0.1446,0.9102,0.067,0.1751,0.7591,-0.0404,0.1446,0.7518,0.0526,0.1446,0.1428,0.0035,0.0038,0.0,0.0,0.0,1.0,1.0,0.0144,0.0528,-0.0008,0.0144,-0.0262,-0.0468,-0.0602,0.0028,0.0103,-0.0003,0.0028,-0.0042,-0.007,-0.0138,3.0,3.0
0.05,0.9055,0.078,0.181,0.7589,-0.0384,0.1456,0.7517,0.0526,0.1456,0.9055,0.078,0.181,0.7589,-0.0384,0.1456,0.7517,0.0526,0.1456,0.1537,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0172,0.0631,-0.0011,0.0172,-0.0304,-0.0538,-0.074,0.0031,0.0113,-0.0004,0.0031,-0.0061,-0.0113,-0.0113,3.0,3.0
0.05,0.9004,0.0897,0.1874,0.7587,-0.0362,0.1466,0.7517,0.0525,0.1466,0.9004,0.0897,0.1874,0.7587,-0.0362,0.1466,0.7517,0.0525,0.1466,0.1692,0.0,0.0044,0.0,0.0,0.0,1.0,1.0,0.0203,0.0744,-0.0016,0.0203,-0.0365,-0.0651,-0.0853,0.0033,0.0123,-0.0005,0.0034,-0.0067,-0.0123,-0.0166,3.0,3.0
0.05,0.8949,0.1022,0.1942,0.7585,-0.0339,0.1478,0.7516,0.0524,0.1478,0.8949,0.1022,0.1942,0.7585,-0.0339,0.1478,0.7516,0.0524,0.1478,0.1858,0.0039,0.0028,0.0,0.0,0.0,1.0,1.0,0.0236,0.0867,-0.0021,0.0237,-0.0432,-0.0774,-0.1019,0.0036,0.0133,-0.0007,0.0037,-0.0057,-0.0097,-0.0157,3.0,3.0
0.05,0.8892,0.1154,0.2015,0.7582,-0.0314,0.149,0.7516,0.0524,0.149,0.8892,0.1154,0.2015,0.7582,-0.0314,0.149,0.7516,0.0524,0.149,0.1997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0272,0.0999,-0.0028,0.0273,-0.0489,-0.0871,-0.1176,0.0039,0.0143,-0.0008,0.0039,-0.0077,-0.0143,-0.0143,3.0,3.0
0.05,0.8831,0.1293,0.209,0.758,-0.0288,0.1502,0.7515,0.0523,0.1502,0.8831,0.1293,0.209,0.758,-0.0288,0.1502,0.7515,0.0523,0.1502,0.2185,0.0,0.0054,0.0,0.0,0.0,1.0,1.0,0.0311,0.1142,-0.0036,0.0313,-0.0567,-0.1014,-0.1319,0.0041,0.0152,-0.001,0.0042,-0.0082,-0.0152,-0.0205,3.0,3.0
0.05,0.8768,0.1439,0.217,0.7577,-0.0261,0.1516,0.7515,0.0522,0.1516,0.8768,0.1439,0.217,0.7577,-0.0261,0.1516,0.7515,0.0522,0.1516,0.2382,0.004,0.0033,0.0,0.0,0.0,1.0,1.0,0.0352,0.1294,-0.0047,0.0355,-0.0649,-0.1167,-0.1524,0.0043,0.0161,-0.0012,0.0045,-0.0071,-0.0125,-0.019,3.0,3.0
0.05,0.8702,0.159,0.2252,0.7574,-0.0232,0.1529,0.7514,0.0521,0.1529,0.8702,0.159,0.2252,0.7574,-0.0232,0.1529,0.7514,0.0521,0.1529,0.2549,0.0,0.0033,0.0,0.0,0.0,1.0,1.0,0.0395,0.1455,-0.0059,0.0399,-0.072,-0.1292,-0.1714,0.0046,0.0169,-0.0014,0.0047,-0.0091,-0.017,-0.0199,3.0,3.0
0.05,0.8634,0.1746,0.2337,0.7571,-0.0203,0.1544,0.7514,0.052,0.1544,0.8634,0.1746,0.2337,0.7571,-0.0203,0.1544,0.7514,0.052,0.1544,0.2763,0.0,0.0035,0.0,0.0,0.0,1.0,1.0,0.0441,0.1625,-0.0073,0.0446,-0.0811,-0.1462,-0.1913,0.0047,0.0177,-0.0016,0.0049,-0.0095,-0.0178,-0.0208,3.0,3.0
0.05,0.8564,0.1906,0.2425,0.7568,-0.0173,0.1558,0.7513,0.052,0.1558,0.8564,0.1906,0.2425,0.7568,-0.0173,0.1558,0.7513,0.052,0.1558,0.2984,0.0039,0.0038,0.0,0.0,0.0,1.0,1.0,0.0488,0.1802,-0.0089,0.0496,-0.0906,-0.164,-0.2121,0.0049,0.0184,-0.0019,0.0052,-0.0083,-0.0151,-0.0216,3.0,3.0
0.05,0.8493,0.2071,0.2514,0.7565,-0.0142,0.1573,0.7512,0.0519,0.1573,0.8493,0.2071,0.2514,0.7565,-0.0142,0.1573,0.7512,0.0519,0.1573,0.3173,0.0,0.0039,0.0,0.0,0.0,1.0,1.0,0.0537,0.1986,-0.0108,0.0547,-0.0988,-0.1791,-0.2338,0.0051,0.019,-0.0021,0.0054,-0.0101,-0.0191,-0.0223,3.0,3.0
0.05,0.842,0.2238,0.2606,0.7562,-0.0111,0.1588,0.7512,0.0518,0.1588,0.842,0.2238,0.2606,0.7562,-0.0111,0.1588,0.7512,0.0518,0.1588,0.3403,0.0029,0.0041,0.0,0.0,0.0,1.0,1.0,0.0588,0.2176,-0.0129,0.0601,-0.1089,-0.1982,-0.2561,0.0052,0.0196,-0.0024,0.0056,-0.0093,-0.0177,-0.0229,3.0,3.0
0.05,0.8346,0.2407,0.2698,0.7558,-0.0079,0.1604,0.7511,0.0517,0.1604,0.8346,0.2407,0.2698,0.7558,-0.0079,0.1604,0.7511,0.0517,0.1604,0.3614,0.0,0.0043,0.0,0.0,0.0,1.0,1.0,0.064,0.2372,-0.0153,0.0657,-0.1182,-0.2159,-0.279,0.0053,0.02,-0.0026,0.0057,-0.0105,-0.0202,-0.0234,3.0,3.0
0.05,0.8272,0.2578,0.2791,0.7555,-0.0047,0.1619,0.7511,0.0516,0.1619,0.8272,0.2578,0.2791,0.7555,-0.0047,0.1619,0.7511,0.0516,0.1619,0.385,0.0032,0.0045,0.0,0.0,0.0,1.0,1.0,0.0692,0.2573,-0.0178,0.0714,-0.1286,-0.236,-0.3024,0.0053,0.0204,-0.0028,0.0059,-0.0095,-0.0187,-0.0237,3.0,3.0
0.05,0.8197,0.275,0.2885,0.7552,-0.0015,0.1635,0.751,0.0515,0.1635,0.8197,0.275,0.2885,0.7552,-0.0015,0.1635,0.751,0.0515,0.1635,0.4065,0.0031,0.0048,0.0,0.0,0.0,1.0,1.0,0.0745,0.2776,-0.0207,0.0773,-0.1382,-0.2547,-0.3261,0.0053,0.0206,-0.0031,0.006,-0.0101,-0.02,-0.0239,3.0,3.0
0.05,0.8122,0.2922,0.2979,0.7549,0.0017,0.1651,0.7509,0.0514,0.1651,0.8122,0.2922,0.2979,0.7549,0.0017,0.1651,0.7509,0.0514,0.1651,0.4291,0.0034,0.0052,0.0,0.0,0.0,1.0,1.0,0.0798,0.2982,-0.0237,0.0833,-0.1482,-0.2747,-0.35,0.0053,0.0207,-0.0033,0.0061,-0.01,-0.0202,-0.024,3.0,3.0
0.05,0.8048,0.3093,0.3072,0.7546,0.0049,0.1666,0.7509,0.0513,0.1666,0.8048,0.3093,0.3072,0.7546,0.0049,0.1666,0.7509,0.0513,0.1666,0.4515,0.0038,0.0055,0.0,0.0,0.0,1.0,1.0,0.0852,0.319,-0.027,0.0893,-0.1583,-0.2949,-0.3741,0.0053,0.0208,-0.0035,0.0061,-0.0099,-0.0203,-0.024,3.0,3.0
0.05,0.7974,0.3262,0.3164,0.7542,0.0081,0.1681,0.7508,0.0512,0.1681,0.7974,0.3262,0.3164,0.7542,0.0081,0.1681,0.7508,0.0512,0.1681,0.4736,0.0042,0.0059,0.0,0.0,0.0,1.0,1.0,0.0905,0.3398,-0.0305,0.0955,-0.1682,-0.3151,-0.3981,0.0052,0.0207,-0.0036,0.0062,-0.0098,-0.0202,-0.0238,3.0,3.0
0.05,0.7901,0.3429,0.3255,0.7539,0.0112,0.1697,0.7508,0.0511,0.1697,0.7901,0.3429,0.3255,0.7539,0.0112,0.1697,0.7508,0.0511,0.1697,0.4953,0.0046,0.0063,0.0,0.0,0.0,1.0,1.0,0.0957,0.3605,-0.0341,0.1017,-0.178,-0.3353,-0.4219,0.0051,0.0205,-0.0037,0.0062,-0.0096,-0.0201,-0.0235,3.0,3.0
0.05,0.783,0.3594,0.3345,0.7536,0.0143,0.1712,0.7507,0.051,0.1712,0.783,0.3594,0.3345,0.7536,0.0143,0.1712,0.7507,0.051,0.1712,0.5165,0.0051,0.0067,0.0,0.0,0.0,1.0,1.0,0.1008,0.3809,-0.0378,0.1078,-0.1876,-0.3554,-0.4454,0.005,0.0202,-0.0038,0.0061,-0.0093,-0.0199,-0.0231,3.0,3.0
0.05,0.776,0.3754,0.3433,0.7533,0.0173,0.1726,0.7506,0.051,0.1726,0.776,0.3754,0.3433,0.7533,0.0173,0.1726,0.7506,0.051,0.1726,0.5371,0.0055,0.0072,0.0,0.0,0.0,1.0,1.0,0.1057,0.4011,-0.0417,0.114,-0.1969,-0.3753,-0.4686,0.0048,0.0198,-0.0039,0.0061,-0.009,-0.0195,-0.0226,3.0,3.0
0.05,0.7692,0.391,0.3518,0.753,0.0202,0.174,0.7506,0.0509,0.174,0.7692,0.391,0.3518,0.753,0.0202,0.174,0.7506,0.0509,0.174,0.5569,0.006,0.0077,0.0,0.0,0.386,1.0,1.0,0.1106,0.4209,-0.0456,0.12,-0.2059,-0.3948,-0.4911,0.0045,0.0109,-0.003,0.0057,-0.0087,-0.0106,-0.0135,3.0,3.0
0.05,0.7626,0.4061,0.36,0.7527,0.0231,0.1754,0.7505,0.0508,0.1754,0.7626,0.4061,0.36,0.7527,0.0231,0.1754,0.7505,0.0508,0.1754,0.577,0.0068,0.0079,0.0,0.0,0.7751,1.0,1.0,0.1151,0.4318,-0.0486,0.1258,-0.2145,-0.4054,-0.5046,0.004,0.0002,-0.0018,0.0053,-0.0084,0.0019,-0.0016,3.0,3.0
0.05,0.7563,0.4207,0.3679,0.7524,0.0258,0.1767,0.7505,0.0507,0.1767,0.7563,0.4207,0.3679,0.7524,0.0258,0.1767,0.7505,0.0507,0.1767,0.5959,0.008,0.0082,0.0,0.0,0.8138,1.0,1.0,0.1191,0.432,-0.0504,0.1311,-0.2229,-0.4035,-0.5062,0.0039,0.0017,-0.0019,0.0051,-0.0079,0.0025,-0.0018,3.0,3.0
